SFMBT2 LYPLA1
SFMBT2 SCMH1
SFMBT2 SCML1
SFMBT2 SLF2
SYK PTK2B
SYK BLNK
SYK DUSP3
SYK SLC4A1
SYK UBASH3B
GGA1 SORL1
GGA1 SORT1
GGA1 APP
GGA1 CLTC
SORL1 AURKA
SORL1 GGA2
SORL1 CFTR
SORL1 RHOH
SORL1 LRPAP1
SORL1 HSPA12A
SORL1 FURIN
SORL1 POU6F2
KRAS USP6NL
KRAS APP
RABEP1 TSHZ2
TSHZ2 APBB1
TSHZ2 GOLGA2
TSHZ2 TRAF1
TSHZ2 TRAF2
TSHZ2 CCDC57
TSHZ2 PNMA1
TSHZ2 TFIP11
TSHZ2 RINT1
TSHZ2 GRIPAP1
TSHZ2 SPTA1
TSHZ2 PIBF1
TSHZ2 GIGYF1
TSHZ2 CRACR2B
TSHZ2 MCC
TSHZ2 COG3
TSHZ2 C16orf70
TSHZ2 BACH2
TSHZ2 CCDC88B
TSHZ2 CNTROB
UBC CD2AP
UBC NCK2
UBC TNIP1
UBC MINDY2
UBC RBCK1
UBC UBASH3B
ITGB1 SLC7A5
SLC7A5 HRAS
SLC7A5 SLC3A2
SLC7A5 SLC7A8
ITSN1 CLTC
AGTRAP TM4SF1
AGTRAP SNX1
AGTRAP ATP5PF
TM4SF1 HSPA8
TM4SF1 DNAJA1
TM4SF1 TUBA1A
TM4SF1 TRIM23
TM4SF1 RABAC1
TM4SF1 CREB3
TM4SF1 TUBA4A
TM4SF1 SDCBP2
TM4SF1 DDR1
TM4SF1 ANPEP
HSPA8 MME
HSPA8 APP
HSPA8 AIPL1
HSPA8 CLTC
HSPA8 DDX5
HSPA8 UBASH3B
APPBP2 APP
APPBP2 KIF6
CAV1 APP
CAV1 HEXIM1
CAV1 POU3F3
APBB1 APP
SET APP
SET UBTF
YWHAG APP
YWHAG HDAC5
YWHAG EFTUD2
YWHAG CLTC
YWHAG CEP95
YWHAG FRMD6
YWHAG DDX5
ZFC3H1 APP
APOA1 CLU
APOA1 APP
ALB CFH
ALB APOE
ALB APP
CFH GRB2
CFH HIP1
CFH DMP1
CFH SELL
CFH ITGAM
CFH THBS1
CFH C3
CFH CFI
CFH CRP
CFH CFHR1
CFH ADM
PSEN1 PLXDC2
PSEN1 APH1B
PSEN1 APOE
PSEN1 APP
PSEN1 GABPA
PSEN1 METTL2A
PLXDC2 NCSTN
PLXDC2 ZBP1
ITGB3 PTK2B
ITGB3 APP
ITGB3 ITGA2B
ITGB3 MAPK8IP1
GRIN1 APP
GRIN1 CLTC
APC NAV3
APC NCKAP5
BRCA1 GABPA
BRCA1 MED13
MEF2D GRN
MEF2D HDAC5
MEF2A HDAC5
H4-16 HDAC5
H4-16 TCF19
REL NCK2
REL TNIP1
REL DAAM2
REL CLTC
REL UBASH3B
SP3 GABPA
SP3 PHF21A
BCL6 SPI1
BCL6 HDAC5
CTBP1 HDAC5
